id,title,description,availability,price,sale_price,link,image_link,brand,product_type,custom_label_0,activity_category,activity_sub_categories
6138655b-0ec2-4f4a-a5c6-aa13979f098e,Here We Go Again London Afternoon Tea Bus Tour,"Take an ABBA-inspired tea bus tour – enjoy a day of tea, prosecco, food and most importantly, incredible music, as you tour London!",in stock,49.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/abba-inspired-london-afternoon-tea-bus,https://emil1886.github.io/goldentours-meta-feed/images/6138655b-0ec2-4f4a-a5c6-aa13979f098e.jpg,Golden Tours,Afternoon Tea in London and the UK,BVA,Tour,Afternoon Tea in London and the UK
7e49822d-76c7-41fe-ae37-658ebff19814,Afternoon Tea at The British Museum Restaurant,Savour the complete afternoon tea experience at The British Museum. The Museum's Great Court Restaurant has a wide and tasty selection of British food.,in stock,43.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/afternoon-tea-at-the-british-museum,https://emil1886.github.io/goldentours-meta-feed/images/7e49822d-76c7-41fe-ae37-658ebff19814.jpg,Golden Tours,Afternoon Tea in London and the UK,ATBM,Tour,Afternoon Tea in London and the UK
9d16f4c9-0ab8-4dd6-9596-6b36f7d15534,Afternoon Tea Bus London Tour,"Enjoy special afternoon tea onboard our afternoon tea bus, while you sample the sights of London's most famous landmarks on this bus tour.",in stock,52.00 GBP,49.40 GBP,https://www.goldentours.com/afternoon-tea-in-london/afternoon-tea-bus-with-panoramic-tour-of-london,https://emil1886.github.io/goldentours-meta-feed/images/9d16f4c9-0ab8-4dd6-9596-6b36f7d15534.jpg,Golden Tours,Afternoon Tea in London and the UK,BV,Tour,Afternoon Tea in London and the UK
1c66b7f3-942d-4956-9696-998f9b20ad41,Afternoon Tea on the London Eye,"Experience an Afternoon Tea while viewing London's skyline! Enjoy tea, treats and views from aboard the London Eye!",in stock,75.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/afternoon-tea-on-the-london-eye,https://emil1886.github.io/goldentours-meta-feed/images/1c66b7f3-942d-4956-9696-998f9b20ad41.jpg,Golden Tours,Afternoon Tea in London and the UK,ATTLE,Tour,Afternoon Tea in London and the UK
e42210ca-3978-4961-a876-b225b8ccfd3b,Harry Styles Inspired London Afternoon Tea Bus,"Enjoy an afternoon tea in London - eat stunning food, all while listening to your favourite Harry Styles hits!",in stock,49.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/harry-styles-inspired-london-afternoon-tea-bus,https://emil1886.github.io/goldentours-meta-feed/images/e42210ca-3978-4961-a876-b225b8ccfd3b.jpg,Golden Tours,Afternoon Tea in London and the UK,BVOD,Tour,Afternoon Tea in London and the UK
ce516911-0208-40a2-b192-ba863950844a,K-Pop Inspired London Afternoon Tea Bus Tour,"Take an afternoon tea bus tour in London, enjoy your afternoon in style, seeing London's famous sights and jamming out to K-pop music!",in stock,49.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/k-pop-inspired-london-afternoon-tea-bus-tour,https://emil1886.github.io/goldentours-meta-feed/images/ce516911-0208-40a2-b192-ba863950844a.jpg,Golden Tours,Afternoon Tea in London and the UK,BVKP,Tour,Afternoon Tea in London and the UK
40f9c715-084d-4e33-86ec-aade0e58943e,London Afternoon Tea Bus Taylor Swift Inspired,Enjoy a unique Taylor Swift inspired experience! Ride on a stunning tea bus and enjoy a bespoke Taylor Swift themed menu!,in stock,49.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/london-afternoon-tea-bus-taylors-version,https://emil1886.github.io/goldentours-meta-feed/images/40f9c715-084d-4e33-86ec-aade0e58943e.jpg,Golden Tours,Afternoon Tea in London and the UK,BVTS,Tour,Afternoon Tea in London and the UK
8d7df2a4-d42c-4406-8f21-e66673b0599e,London Brunch Bus Tour,Take in the famous landmarks of London as you enjoy a stunning brunch on a tea bus in London! Tour the city and eat delicious food!,in stock,49.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/london-brunch-bus-tour,https://emil1886.github.io/goldentours-meta-feed/images/8d7df2a4-d42c-4406-8f21-e66673b0599e.jpg,Golden Tours,Afternoon Tea in London and the UK,BVBR,Tour,Afternoon Tea in London and the UK
979fa61e-3167-4fea-ad72-617f2a539e63,Private Hen Party Afternoon Tea Bus Tour,"If you're looking for a hen party idea, look no further! Enjoy a trip aboard the Afternoon Tea Bus in London for an unforgettable hen party!",in stock,1100.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/private-hen-party-afternoon-tea-bus-tour,https://emil1886.github.io/goldentours-meta-feed/images/979fa61e-3167-4fea-ad72-617f2a539e63.jpg,Golden Tours,Afternoon Tea in London and the UK,HPBV,Tour,Afternoon Tea in London and the UK
bee28123-b648-47be-ad54-ab0230fb1ac5,Royal Windsor Afternoon Tea Bus Tour,Enjoy a day out on our Afternoon Tea Bus in Windsor – see the city’s stunning sights and enjoy an outstanding afternoon tea service.,in stock,49.00 GBP,44.10 GBP,https://www.goldentours.com/afternoon-tea-in-london/royal-windsor-afternoon-tea-bus-tour,https://emil1886.github.io/goldentours-meta-feed/images/bee28123-b648-47be-ad54-ab0230fb1ac5.jpg,Golden Tours,Afternoon Tea in London and the UK,BVW,Tour,Afternoon Tea in London and the UK
e9caba06-8d16-4ad2-a55e-824c078d8f02,The Smurfs London Tea Party Adventure,"Indulge in a whimsical afternoon tea aboard the Smurfs bus, offering an array of sweet treats, savoury delights, refreshing drinks, and music.",in stock,44.00 GBP,,https://www.goldentours.com/afternoon-tea-in-london/the-smurfs-london-tea-party-adventure,https://emil1886.github.io/goldentours-meta-feed/images/e9caba06-8d16-4ad2-a55e-824c078d8f02.jpg,Golden Tours,Afternoon Tea in London and the UK,BVSM,Tour,Afternoon Tea in London and the UK
